feature,type,missing_count,missing_pct,unique_values,mode,mean,median,min,max,std
bid,continuous,0,0.0,1491,15.0,5.9326,4.79,0.1,15.0,4.4501
age,continuous,2,0.0,85,64.0,52.6878,53.0,12.0,100.0,18.1688
continuous_coverage_months,discrete,0,0.0,7,72,,,,,
created_hour,discrete,0,0.0,24,16,,,,,
created_dayofweek,discrete,0,0.0,7,0,,,,,
num_vehicles,discrete,0,0.0,12,1,,,,,
num_drivers,discrete,0,0.0,4,1,,,,,
num_auto_violations,discrete,0,0.0,2,0,,,,,
num_auto_accidents,discrete,0,0.0,2,0,,,,,
is_married,discrete,0,0.0,2,0,,,,,
multi_vehicle,discrete,0,0.0,2,0,,,,,
age_cohort_under_18,discrete,0,0.0,2,0,,,,,
age_cohort_18_24,discrete,0,0.0,2,0,,,,,
age_cohort_25_34,discrete,0,0.0,2,0,,,,,
age_cohort_35_44,discrete,0,0.0,2,0,,,,,
age_cohort_45_54,discrete,0,0.0,2,0,,,,,
age_cohort_55_64,discrete,0,0.0,2,0,,,,,
age_cohort_65_plus,discrete,0,0.0,2,0,,,,,
state,categorical,0,0.0,51,FL,,,,,
gender,categorical,0,0.0,3,Male,,,,,
marital_status,categorical,0,0.0,4,Single,,,,,
campaign_id,categorical,0,0.0,8,13,,,,,
